['GVVVIVLAV', '1.251\r\n']
['WVCGVGYGS', '1.096\r\n']
['SLIGSIGVI', '1.096\r\n']
['VSSIAASIS', '1.096\r\n']
['LKSALEGLV', '1.096\r\n']
['VDFIVPSAE', '1.096\r\n']
['IEYAAPLVG', '1.096\r\n']
['DQYYGVLAF', '1.096\r\n']
['AFEACGGLV', '1.096\r\n']
['VFNTFASVI', '1.096\r\n']
['RHFLNAVCT', '1.096\r\n']
['IVSGGALGV', '1.096\r\n']
['GCKCVAEGA', '1.096\r\n']
['SLVGVPFKR', '1.096\r\n']
['QKQTAISVV', '1.096\r\n']
['VKGVISYAT', '1.096\r\n']
['SAYFQLGVS', '1.096\r\n']
['AQAFGAKVV', '1.096\r\n']
['LHLDISGHL', '1.096\r\n']
['DATILVLKA', '1.096\r\n']
['TQIISYALI', '1.096\r\n']
['EQVGSVRFV', '1.096\r\n']
['VHIEPALKA', '1.096\r\n']
['CYAEKVAEI', '1.096\r\n']
['FFIHVGSTL', '1.096\r\n']
['VEIIKLAAQ', '1.096\r\n']
['FLGALIMLH', '1.096\r\n']
['GIVCESGII', '1.096\r\n']
['IQVGIIGRV', '1.095\r\n']
['VIAGFILRS', '1.095\r\n']
['CSPAIGGIL', '1.095\r\n']
['HRIIVVPRG', '1.095\r\n']
['YVGYWGGLV', '1.095\r\n']
['LYPGVGFFA', '1.095\r\n']
['GGFAVIHLA', '1.095\r\n']
['LAGILTFLS', '1.095\r\n']
['IIDAIVDAI', '1.095\r\n']
['TYHLFAHIQ', '1.095\r\n']
['KVVAFGGVG', '1.095\r\n']
['FFPFLEHAL', '1.095\r\n']
['TDAIVVYGA', '1.095\r\n']
['FEGVCIAIR', '1.095\r\n']
['SFVILGRAI', '1.095\r\n']
['AVAGEAHVP', '1.095\r\n']
['GNVGCVIIE', '1.095\r\n']
['YEVLIAADP', '1.095\r\n']
['ISFGLIALS', '1.095\r\n']
['DVDYGIHAV', '1.095\r\n']
['NRLYFVAVG', '1.095\r\n']
['PTLLIAHTI', '1.095\r\n']
['YMWLVGLIA', '1.095\r\n']
['AVKNIAEVL', '1.095\r\n']
['EIYITLALA', '1.095\r\n']
['IVRAGVGVD', '1.095\r\n']
['SHFDLPIAL', '1.095\r\n']
['GSLFLGRLV', '1.095\r\n']
['SIIALVGGF', '1.095\r\n']
['GLLGVVGGF', '1.095\r\n']
['FVITATGCA', '1.095\r\n']
['AHILEGYLI', '1.095\r\n']
['YFIDLIAQH', '1.095\r\n']
['IHAVVGDNL', '1.095\r\n']
['VKMGFLVHS', '1.095\r\n']
['TPFVLAYRA', '1.095\r\n']
['DEVGCFALA', '1.095\r\n']
['VLMGYVFGS', '1.095\r\n']
['KVITLANVS', '1.095\r\n']
['GRVLPIFSI', '1.095\r\n']
['IVKPLIEPS', '1.095\r\n']
['KFIAFAMVL', '1.095\r\n']
['FVVGGAYLN', '1.095\r\n']
['FDYVVANPP', '1.095\r\n']
['LTKFVAQIA', '1.095\r\n']
['VLSVDGARI', '1.095\r\n']
['HLGGCILPG', '1.095\r\n']
['VSLGFSAIQ', '1.095\r\n']
['GLNTIVLSL', '1.095\r\n']
['SAVMGVIIS', '1.095\r\n']
['NIVAYFSIA', '1.095\r\n']
['YTSHEALLL', '1.095\r\n']
['AAIHEVSAY', '1.095\r\n']
['AAIHEVSAY', '1.095\r\n']
['VVTPPNAIA', '1.095\r\n']
['VRIEVAPKI', '1.095\r\n']
['MHPLLGELV', '1.095\r\n']
['AKHLFSFAL', '1.095\r\n']
['IDTALLHGV', '1.095\r\n']
['QSFQLGIAV', '1.095\r\n']
['SVKGHLAEV', '1.095\r\n']
['GIKYVGELV', '1.095\r\n']
['DFLVRLIKA', '1.095\r\n']
['VAAVMITAS', '1.095\r\n']
['VQGSAIATV', '1.095\r\n']
['MHIVVTHKA', '1.095\r\n']
['TKSIYACPI', '1.095\r\n']
['SVVINASAS', '1.095\r\n']
['DSLGLGACL', '1.095\r\n']
['PRGVYCGAI', '1.095\r\n']
['GFGLVISAI', '1.095\r\n']
['GYNIDVSLV', '1.095\r\n']
['LQFGAKIAC', '1.095\r\n']
['IRQFVLQAS', '1.095\r\n']
['PTLALISAF', '1.095\r\n']
['FAIGLAMIV', '1.095\r\n']
['LRAGLGLCS', '1.095\r\n']
['HLAHQLTFA', '1.095\r\n']
['EHLAHSAIL', '1.095\r\n']
['SLGELASVY', '1.095\r\n']
['IVGVIGQSS', '1.095\r\n']
['IAWIIIAAI', '1.094\r\n']
['SQVIFIATA', '1.094\r\n']
['LLIAIIGHE', '1.094\r\n']
['FGIFFVTGV', '1.094\r\n']
['GAIFVFGLA', '1.094\r\n']
['PLIADIHFH', '1.094\r\n']
['LERAFIALL', '1.094\r\n']
['ILGVRIAEL', '1.094\r\n']
['KVAGFITPV', '1.094\r\n']
['IDAILEGVL', '1.094\r\n']
['IFKEFVELL', '1.094\r\n']
['KIAGFVVAT', '1.094\r\n']
['YARCGIIVN', '1.094\r\n']
['DHAFLIPGV', '1.094\r\n']
['VMVILAPER', '1.094\r\n']
['LAYAIANAL', '1.094\r\n']
['LYYAPIRGL', '1.094\r\n']
['YYLARLIAG', '1.094\r\n']
['KFVFLAGTL', '1.094\r\n']
['PLLILAGAG', '1.094\r\n']
['ESLAILGVS', '1.094\r\n']
['FVFGLAGIP', '1.094\r\n']
['IISIDGVRV', '1.094\r\n']
['TVLEAAALS', '1.094\r\n']
['VMLGDVFYS', '1.094\r\n']
['SSLGAVELI', '1.094\r\n']
['LDHNDVAIV', '1.094\r\n']
['HHNHIACAA', '1.094\r\n']
['VFLGFGYLG', '1.094\r\n']
['VKYPIPAGI', '1.094\r\n']
['FKVPEPLIA', '1.094\r\n']
['FSVFISHTF', '1.094\r\n']
['AGSVLIGVE', '1.094\r\n']
['PEHVRALGV', '1.094\r\n']
['LDRRAVACA', '1.094\r\n']
['FSAVGIGSV', '1.094\r\n']
['LYSEVTPAI', '1.094\r\n']
['GYPVIIKAA', '1.094\r\n']
['ELATPVAHI', '1.094\r\n']
['GVRLIGNCL', '1.094\r\n']
['SAAYAARYV', '1.094\r\n']
['VQNGVVLTG', '1.094\r\n']
['FKGVLLAEI', '1.094\r\n']
['IELATPVAH', '1.094\r\n']
['TQLGLPEVL', '1.094\r\n']
['IDELLALIS', '1.094\r\n']
['GLIGVVEKI', '1.094\r\n']
['CIMIDPALA', '1.094\r\n']
['FLLDATHLA', '1.094\r\n']
['FFNGCFGLV', '1.094\r\n']
['DRRAVACAL', '1.094\r\n']
['VGNLLTFLA', '1.094\r\n']
['CQVGDIAKI', '1.094\r\n']
['EHALDVHYA', '1.094\r\n']
['FYEILALSS', '1.094\r\n']
['TNYVAAQFV', '1.094\r\n']
['SCAGLTPGV', '1.094\r\n']
['SCAGLTPGV', '1.094\r\n']
['FCEIISSIS', '1.094\r\n']
['ELVYQIGVN', '1.094\r\n']
['ISHPFVQGI', '1.094\r\n']
['QVGGIACSP', '1.094\r\n']
['GLAQYIHAY', '1.094\r\n']
['RLDALYALA', '1.094\r\n']
['IGFCFGSFL', '1.094\r\n']
['IGFCFGSFL', '1.094\r\n']
['LIFGVDQAI', '1.094\r\n']
['LDHDSIAVI', '1.094\r\n']
['SHHQEVLRL', '1.094\r\n']
['LPLIPAYMS', '1.094\r\n']
['ILMGAVFMV', '1.094\r\n']
['IKALAPYVN', '1.094\r\n']
['INTIPSLIV', '1.094\r\n']
['LISLDVGTI', '1.094\r\n']
['LIHALSEIS', '1.094\r\n']
['FLEELNQVV', '1.094\r\n']
['IPAGFVKVT', '1.094\r\n']
['KHFCALANI', '1.094\r\n']
['STLFGVSLA', '1.094\r\n']
['CCGDLSAWA', '1.094\r\n']
['ASEPCAYAI', '1.094\r\n']
['SYFNSIVLS', '1.094\r\n']
['LTRGVLTSV', '1.094\r\n']
['SFYTILSLS', '1.094\r\n']
['VHHTNAHSV', '1.094\r\n']
['FGTIPIIAV', '1.093\r\n']
['FGTIPIIAV', '1.093\r\n']
['DYLTFIGIV', '1.093\r\n']
['DFITGFFVV', '1.093\r\n']
['FLVGTIIGI', '1.093\r\n']
['LGGLFIGFV', '1.093\r\n']
['HIEHFIALA', '1.093\r\n']
['LRFFDVAIA', '1.093\r\n']
['PLGAEVFVG', '1.093\r\n']
['GLLFVINTI', '1.093\r\n']
['MITAYAWVV', '1.093\r\n']
['VHAIEGLVN', '1.093\r\n']
['AVEEAIYLA', '1.093\r\n']
['YLILFGWSI', '1.093\r\n']
['AVREAVAVN', '1.093\r\n']
['LWVVRINAA', '1.093\r\n']
['YLCAFNAFK', '1.093\r\n']
['LSHAIAPAP', '1.093\r\n']
['SSSEHAVIL', '1.093\r\n']
['LEHFLAPIS', '1.093\r\n']
['FKYGLIYIA', '1.093\r\n']
['KKGLIVGVA', '1.093\r\n']
['LKGAIDLAV', '1.093\r\n']
['LLGLIGGAL', '1.093\r\n']
['LFDAFACEI', '1.093\r\n']
['IKNLIAAAV', '1.093\r\n']
['SWMVVIGAL', '1.093\r\n']
['LWNVIAYNV', '1.093\r\n']
['IIFAFPPTL', '1.093\r\n']
['ALAIDAPLP', '1.093\r\n']
['YDLDYAIVK', '1.093\r\n']
['YDLDYAIVK', '1.093\r\n']
['FLLELVGRS', '1.093\r\n']
['LLSNLVWGI', '1.093\r\n']
['SFRVVADHA', '1.093\r\n']
['AAVGLWQVT', '1.093\r\n']
['LLGYLIGGI', '1.093\r\n']
['FLGVLEGLS', '1.093\r\n']
['YIKGVIGLA', '1.093\r\n']
['IAIAGGVCD', '1.093\r\n']
['CGVAITHSK', '1.093\r\n']
['AKIALDGVL', '1.093\r\n']
['ARALILHPS', '1.093\r\n']
['LIGAPLIYG', '1.093\r\n']
['FITPLTAIL', '1.093\r\n']
['GRTCHAAIV', '1.093\r\n']
['IGLAYYGII', '1.093\r\n']
['LIIGDVGCG', '1.093\r\n']
['FLGVLNGFL', '1.093\r\n']
['LEKEGVALV', '1.093\r\n']
['ESDVLVGAI', '1.093\r\n']
['ARSLIGAYV', '1.093\r\n']
['FVRPLEALS', '1.093\r\n']
['VFFDYAHLM', '1.093\r\n']
['ARSYLIAVG', '1.093\r\n']
['FEAVLALRS', '1.093\r\n']
['MLVALPRAP', '1.093\r\n']
['MHKALILGV', '1.093\r\n']
['LLVFMGAFS', '1.093\r\n']
['VLTLTANTV', '1.093\r\n']
['FNAVQAVIT', '1.093\r\n']
['GFWLQAILL', '1.093\r\n']
['VSASFAFLG', '1.093\r\n']
['AVYAPIASR', '1.093\r\n']
['FYLQTIDVS', '1.093\r\n']
['VSYALEQEL', '1.093\r\n']
['VISAIAQAK', '1.093\r\n']
['FFLYDVGLG', '1.093\r\n']
['CHYESPIAS', '1.093\r\n']
['FFVAPTQIA', '1.093\r\n']
['YQATLLALR', '1.093\r\n']
['GLLAYANLI', '1.093\r\n']
['GVGATVSFL', '1.093\r\n']
['ACDGAVTSL', '1.093\r\n']
['SLGEVSAVS', '1.093\r\n']
['HTIFLSAVG', '1.093\r\n']
['SYLYYANRV', '1.093\r\n']
['CVGILSNIM', '1.093\r\n']
['ALGVLDIKA', '1.093\r\n']
['YAIVGGLSA', '1.093\r\n']
['GVFSAAGFV', '1.093\r\n']
['STLISACIG', '1.093\r\n']
['ISLCNAPFS', '1.093\r\n']
['VRAVFSNVG', '1.093\r\n']
['PFLSTGIHV', '1.093\r\n']
['MCVGILSNI', '1.093\r\n']
['SGFLCLGAS', '1.093\r\n']
['SEFVLVAKG', '1.093\r\n']
['LTYARLASL', '1.093\r\n']
['PSAGVYHSY', '1.093\r\n']
['EIVANAQVI', '1.093\r\n']
['GVSEVASVG', '1.093\r\n']
['YHAKHAIRV', '1.093\r\n']
['YFIGFIIFA', '1.092\r\n']
['ALVEIEAIA', '1.092\r\n']
['YHFAILFEA', '1.092\r\n']
['HHEHTIAIV', '1.092\r\n']
['DGVFDVAII', '1.092\r\n']
['KQIHLAIIS', '1.092\r\n']
['FSPVVGWLG', '1.092\r\n']
['SKAVIGGVI', '1.092\r\n']
['IIFLDAIFS', '1.092\r\n']
['IGLILAGIA', '1.092\r\n']
['ILWAIPTLF', '1.092\r\n']
['IDGVFDVAI', '1.092\r\n']
['FHSFVILGR', '1.092\r\n']
['IGIARALIL', '1.092\r\n']
['YRQVIAYFK', '1.092\r\n']
['FASVRINFV', '1.092\r\n']
['AYDILAVGS', '1.092\r\n']
['FSFAIAQFL', '1.092\r\n']
['SYWIFGSLV', '1.092\r\n']
['KVVGRYAIS', '1.092\r\n']
['SVIFEGVKI', '1.092\r\n']
['LHGHFPHVE', '1.092\r\n']
['DRFVHGGVV', '1.092\r\n']
['SIYADIPHL', '1.092\r\n']
['FNHLVGFGV', '1.092\r\n']
['LGGGYVGIV', '1.092\r\n']
['NLKLIAAFL', '1.092\r\n']
['AVFGDVGVT', '1.092\r\n']
['SATGLILAL', '1.092\r\n']
['SLTLIPGAL', '1.092\r\n']
['EVFALVRAR', '1.092\r\n']
['GVIVGGYAA', '1.092\r\n']
['IGYICTGTV', '1.092\r\n']
['EVSVIGNVS', '1.092\r\n']
['YYGVEPYAH', '1.092\r\n']
['FKFLLINTV', '1.092\r\n']
['SSSLYAIIS', '1.092\r\n']
['FGSFLIQFL', '1.092\r\n']
['FRFLEYAPV', '1.092\r\n']
['VRLFKGWVI', '1.092\r\n']
['ILPGHGGVL', '1.092\r\n']
['SSYARALVS', '1.092\r\n']
['TVFLGDVAS', '1.092\r\n']
['LNAGIVLQA', '1.092\r\n']
['LFWGHQIPV', '1.092\r\n']
['IALECGAVN', '1.092\r\n']
['GLGGVALGV', '1.092\r\n']
['ILVAPTAGA', '1.092\r\n']
['NSKCEIALV', '1.092\r\n']
['STICPVGIG', '1.092\r\n']
['GIGLAAIQV', '1.092\r\n']
['ARHLDAVAY', '1.092\r\n']
['SLPADVYGI', '1.092\r\n']
['LAVGGAYLT', '1.092\r\n']
['YDGVLIASA', '1.092\r\n']
['LMFLDALVE', '1.092\r\n']
['ATLAVALNA', '1.092\r\n']
['FSVQLGWLP', '1.092\r\n']
['LSVLNAARI', '1.092\r\n']
['SSVGYAPVG', '1.092\r\n']
['LYPFMIAPI', '1.092\r\n']
['IITTPISFV', '1.092\r\n']
['IDEVSIGVI', '1.092\r\n']
['ILFALGIKA', '1.092\r\n']
['GYFILQAYA', '1.092\r\n']
['FTLTLIGSV', '1.092\r\n']
['KIVISVGAG', '1.092\r\n']
['LYVGSAEEV', '1.092\r\n']
['DLAFVCGSG', '1.092\r\n']
['IFYATCTPP', '1.092\r\n']
['THLIKIACE', '1.092\r\n']
['SFEVVDAKL', '1.092\r\n']
['FNALYLAHA', '1.092\r\n']
['SAILAAVMS', '1.092\r\n']
['YQLGGVGSV', '1.092\r\n']
['KHIAKHFVA', '1.092\r\n']
['RTFLIASCA', '1.092\r\n']
['YALSIGTLI', '1.092\r\n']
['FIASFIGSV', '1.092\r\n']
['LYSGLIDSL', '1.092\r\n']
['NFLVFSNVA', '1.092\r\n']
['GHQIRSYVL', '1.092\r\n']
['YHNSAVVFE', '1.092\r\n']
['QHFLSVEGL', '1.092\r\n']
['YNLIIIGII', '1.091\r\n']
['HLDIPIAIS', '1.091\r\n']
['GGIVFVFAT', '1.091\r\n']
['QELHIAEIV', '1.091\r\n']
['ELIAEIDVL', '1.091\r\n']
['TVYGIIGVK', '1.091\r\n']
['LKFAIINLI', '1.091\r\n']
['LDFPIVFTS', '1.091\r\n']
['VNYIAGGIV', '1.091\r\n']
['LLPAFINAH', '1.091\r\n']
['HFGFFLGVA', '1.091\r\n']
['KEVYIAGIL', '1.091\r\n']
['LESVFIHAT', '1.091\r\n']
['IFAAVIGGY', '1.091\r\n']
['VLLGITRAA', '1.091\r\n']
['RYIGFLLIS', '1.091\r\n']
['FLVGAIRPP', '1.091\r\n']
['FFAELFAPL', '1.091\r\n']
['IVTTVAEHP', '1.091\r\n']
['MLAYPIEVA', '1.091\r\n']
['ATLFCIDAS', '1.091\r\n']
['YASFLIADY', '1.091\r\n']
['LICYEAEAS', '1.091\r\n']
['KVTGLAIRV', '1.091\r\n']
['GTYILVGAI', '1.091\r\n']
['VRLAINHAI', '1.091\r\n']
['NYLIPAGAC', '1.091\r\n']
['GVLAFANAL', '1.091\r\n']
['VVGIIDAKS', '1.091\r\n']
['ALGVLAFAN', '1.091\r\n']
['PVMVAIGAS', '1.091\r\n']
['DYLGLIGVS', '1.091\r\n']
['TAAILVGLG', '1.091\r\n']
['TAAILVGLG', '1.091\r\n']
['FSNGVVEPV', '1.091\r\n']
['FKGVLVETI', '1.091\r\n']
['LSTHPIALS', '1.091\r\n']
['AYFILNALS', '1.091\r\n']
['TLYANVAIA', '1.091\r\n']
['PFLAIPTPY', '1.091\r\n']
['IAYFYVGYN', '1.091\r\n']
['FELAIACGA', '1.091\r\n']
['FVSEVAGTL', '1.091\r\n']
['ISFALYAIG', '1.091\r\n']
['VEFHTGVYA', '1.091\r\n']
['GFWNVVGYV', '1.091\r\n']
['SLGLILGTL', '1.091\r\n']
['YAYAYAVET', '1.091\r\n']
['AILPLIHRT', '1.091\r\n']
['YTYLAGDIV', '1.091\r\n']
['SSVEQAEVL', '1.091\r\n']
['DDVIITSCA', '1.091\r\n']
['GISALIDAV', '1.091\r\n']
['NVGGEVLCS', '1.091\r\n']
['IMAVISAIS', '1.091\r\n']
['FIGLLIYAM', '1.091\r\n']
['FGIILIKAI', '1.091\r\n']
['AGADLVRVA', '1.091\r\n']
['TPFLAPYIA', '1.091\r\n']
['YKVALVTDG', '1.091\r\n']
['AKFVLVNAG', '1.091\r\n']
['VKDGGLVVG', '1.091\r\n']
['QMVGRVLPI', '1.091\r\n']
['GQPVLVGTA', '1.091\r\n']
['VHALDVGAM', '1.091\r\n']
['GFFILAQDC', '1.091\r\n']
['KVSAEALLS', '1.091\r\n']
['LHCGKIIEF', '1.091\r\n']
['NSHTIVSVF', '1.091\r\n']
['FVRYLGRAL', '1.091\r\n']
['ILSLGILDS', '1.091\r\n']
['FHWVRALSI', '1.091\r\n']
['NAIGLAYPC', '1.091\r\n']
['SEGCLGVIS', '1.091\r\n']
['SMALNVAAV', '1.091\r\n']
['VRATYPHVR', '1.091\r\n']
['VYFGLASWF', '1.091\r\n']
['LGKELAVPI', '1.091\r\n']
['ALSTAVGLS', '1.091\r\n']
['KIGDIASVV', '1.091\r\n']
['INGLLGVVG', '1.091\r\n']
['KEVLLAGAI', '1.091\r\n']
['FGALGLHAL', '1.091\r\n']
['FGALGLHAL', '1.091\r\n']
['VKISDAIGV', '1.091\r\n']
['FLSALAGAI', '1.091\r\n']
['YFLALNALT', '1.091\r\n']
['AISVIGDKV', '1.091\r\n']
['LHLPNATLI', '1.091\r\n']
['GIGLPTLVA', '1.091\r\n']
['PIVSGIALD', '1.091\r\n']
['AMASVVGIP', '1.091\r\n']
['FGAILASLA', '1.091\r\n']
['ARVDSIALI', '1.091\r\n']
['FLAVESALE', '1.091\r\n']
['KHTKIVGVI', '1.091\r\n']
['SRTLIAKVL', '1.091\r\n']
['ILDSNAIVY', '1.091\r\n']
['ITGILLSAI', '1.091\r\n']
['SFINLPYLA', '1.091\r\n']
['AVIAFIGIG', '1.09\r\n']
['FLWAELGIV', '1.09\r\n']
['AKEILVGII', '1.09\r\n']
['INVFGLIAA', '1.09\r\n']
['VQAGVITGI', '1.09\r\n']
['LIFIAIGML', '1.09\r\n']
['IEYAIAHVG', '1.09\r\n']
['VYQNIAFAH', '1.09\r\n']
['YGVDIDAVA', '1.09\r\n']
['QAFVYFGAP', '1.09\r\n']
['PVGAIALDF', '1.09\r\n']
['YFSHTIPIY', '1.09\r\n']
['YFSHTIPIY', '1.09\r\n']
['FFSPLIGWV', '1.09\r\n']
['VMYGFVNAL', '1.09\r\n']
['FALGLIGGV', '1.09\r\n']
['VFKNIILAS', '1.09\r\n']
['GEPYIVHPI', '1.09\r\n']
['GAEVLIYPS', '1.09\r\n']
['LNAVDGPIV', '1.09\r\n']
['PDLGTALIV', '1.09\r\n']
['IGIDIVSIA', '1.09\r\n']
['LSVALAAEG', '1.09\r\n']
['DFYAYAFLA', '1.09\r\n']
['VNYNIALDV', '1.09\r\n']
['FLYAYIFSM', '1.09\r\n']
['IYIDLVART', '1.09\r\n']
['SLYALEVNA', '1.09\r\n']
['AYSVNAFRV', '1.09\r\n']
['IKTLIISGV', '1.09\r\n']
['LDGYEVYLS', '1.09\r\n']
['AHQLTFALA', '1.09\r\n']
['VLNAVDGPI', '1.09\r\n']
['SALLIKWGV', '1.09\r\n']
['GGCILPGLA', '1.09\r\n']
['TSSSFVWLL', '1.09\r\n']
['KEWLGVCAI', '1.09\r\n']
['LAFLIADML', '1.09\r\n']
['SISGYVFLG', '1.09\r\n']
['GKLEGVVSL', '1.09\r\n']
['LEYHLIGQI', '1.09\r\n']
['TRIALSIIL', '1.09\r\n']
['TMVALTLAI', '1.09\r\n']
['LESYGILLS', '1.09\r\n']
['AVSGVNVRA', '1.09\r\n']
['YINHFVKIA', '1.09\r\n']
['ACLNLGARL', '1.09\r\n']
['KRKVAAALL', '1.09\r\n']
['FQVPLGHGI', '1.09\r\n']
['IGALLADVT', '1.09\r\n']
['LDISDAIAV', '1.09\r\n']
['SVIEESQIV', '1.09\r\n']
['PYAFIVSSG', '1.09\r\n']
['SKIISAFSV', '1.09\r\n']
['GMLIDSAVV', '1.09\r\n']
['IQVILGSAT', '1.09\r\n']
['LKPGYAIKV', '1.09\r\n']
['IRGLQFHVA', '1.09\r\n']
['ENDSVAFVV', '1.09\r\n']
['IFSESITLV', '1.09\r\n']
['VTALNPHVG', '1.09\r\n']
['LCVGGGQGL', '1.09\r\n']
['LRNHLACAS', '1.09\r\n']
['YYHLERSVS', '1.09\r\n']
['LVIADVMRS', '1.09\r\n']
['LLGVFMGLQ', '1.09\r\n']
['TIALQAFLS', '1.09\r\n']
['STGAYVQVS', '1.09\r\n']
['LGMALAFSV', '1.09\r\n']
['YSPELVSAQ', '1.09\r\n']
['GYGLDLGCL', '1.09\r\n']
['AAVGTVSGL', '1.09\r\n']
['TLLAQVDAS', '1.09\r\n']
['PLRVAIEIS', '1.089\r\n']
['LECGEIGIV', '1.089\r\n']
['FLYGLWPIA', '1.089\r\n']
['FLYGLWPIA', '1.089\r\n']
['ILFIAAGAF', '1.089\r\n']
['FVDIINALA', '1.089\r\n']
['LRRVFVGAS', '1.089\r\n']
['IAGLWLAVG', '1.089\r\n']
['LIIAIYAGK', '1.089\r\n']
['HHLIGLEAI', '1.089\r\n']
['ILNIATHVS', '1.089\r\n']
['SFGITVALA', '1.089\r\n']
['VSGGGAFVL', '1.089\r\n']
['DFGIGALVL', '1.089\r\n']
['LSFPLEAIP', '1.089\r\n']
['KLALIAGAI', '1.089\r\n']
['ISGAFAISV', '1.089\r\n']
['TVLGTVGIA', '1.089\r\n']
['SVGFYLGFA', '1.089\r\n']
['SVGFYLGFA', '1.089\r\n']
['QQVGGIACS', '1.089\r\n']
['VVGNFAGHL', '1.089\r\n']
['ASLAFIQAF', '1.089\r\n']
['FFLLDAEFL', '1.089\r\n']
['YAPFNTHVL', '1.089\r\n']
['FQKTIVAVG', '1.089\r\n']
['FSQILGVRI', '1.089\r\n']
['ALFALIESA', '1.089\r\n']
['VRLHAPFAT', '1.089\r\n']
['YDIPEPVVG', '1.089\r\n']
['QFLVNVGIR', '1.089\r\n']
['GDLVLAGIF', '1.089\r\n']
['VLAGIFSTP', '1.089\r\n']
['TVIALPEGL', '1.089\r\n']
['VNFLYTIPS', '1.089\r\n']
['FGLAGVVGS', '1.089\r\n']
['GTLIIVSYT', '1.089\r\n']
['IVGEGLYGV', '1.089\r\n']
['GAFFLLLAD', '1.089\r\n']
['GRYYIALLS', '1.089\r\n']
['YLGHRALAY', '1.089\r\n']
['FIGGLILPF', '1.089\r\n']
['SAGVLATVD', '1.089\r\n']
['NQFVPVALN', '1.089\r\n']
['SYAIYNYLA', '1.089\r\n']
['FLTLHVGAG', '1.089\r\n']
['VLFLAANTS', '1.089\r\n']
['WNVAYVAPS', '1.089\r\n']
['FIIFVPRKA', '1.089\r\n']
['GWSYLVIAQ', '1.089\r\n']
['LIGAYAYAQ', '1.089\r\n']
['VAAGLGAYA', '1.089\r\n']
['YRIVFSGVG', '1.089\r\n']
['AGPVLAGYA', '1.089\r\n']
['SVPSGIAFI', '1.089\r\n']
['FQVLVNGGI', '1.089\r\n']
['LLCSIGGIM', '1.089\r\n']
['PVGISVGTI', '1.089\r\n']
['FLSVYTGGL', '1.089\r\n']
['FLSGVDALS', '1.089\r\n']
['WLFLAPLAG', '1.089\r\n']
['CFYGPPGVG', '1.089\r\n']
['SLDSVITAI', '1.089\r\n']
['GVIGELLSI', '1.089\r\n']
['GYYLQIGAL', '1.089\r\n']
['GLVHYSEIS', '1.089\r\n']
['SAQTIGSVV', '1.089\r\n']
['VVRSHFGAQ', '1.089\r\n']
['VISLLAENA', '1.089\r\n']
['VGIGPGSIC', '1.089\r\n']
['DEYFCGSIV', '1.089\r\n']
['DEYFCGSIV', '1.089\r\n']
['LAFGFLSYS', '1.089\r\n']
['HLFSFALGA', '1.089\r\n']
['IYNCGADLL', '1.089\r\n']
['YVRFNSGVL', '1.089\r\n']
['YHSKWVRPV', '1.089\r\n']
['YHSKWVRPV', '1.089\r\n']
['ASCLLTNAP', '1.089\r\n']
['QEVVGALMI', '1.089\r\n']
['AFYWRYIVS', '1.088\r\n']
['FWLGVIWGV', '1.088\r\n']
['YSYIEPFII', '1.088\r\n']
['SILIFTAIS', '1.088\r\n']
['VKLGEIFGV', '1.088\r\n']
['NIFEIAYVY', '1.088\r\n']
['VDVIPTGIS', '1.088\r\n']
['VEVGPAFIK', '1.088\r\n']
['YKFALIAAQ', '1.088\r\n']
['GRIFYAHVF', '1.088\r\n']
['QNIIVAESV', '1.088\r\n']
['AYFHFLRAF', '1.088\r\n']
['PLAGTIALY', '1.088\r\n']
['LSPAIAGLA', '1.088\r\n']
['FFLGIVPRS', '1.088\r\n']
['IGPIFTSIV', '1.088\r\n']
['IARVEPGVI', '1.088\r\n']
['SVGGEYGVV', '1.088\r\n']
['DEAVLIGLH', '1.088\r\n']
['FTGGFVYLY', '1.088\r\n']
['YLSIPIYPN', '1.088\r\n']
['VDATLTGIV', '1.088\r\n']
['THVVIGTQA', '1.088\r\n']
['PIGAAVGVK', '1.088\r\n']
['FVFEPALAK', '1.088\r\n']
['GVFGVGAYF', '1.088\r\n']
['PGLLIGALS', '1.088\r\n']
['NLVLGVFNS', '1.088\r\n']
['PSVENVGPV', '1.088\r\n']
['WFALLIGAI', '1.088\r\n']
['VTITHADLI', '1.088\r\n']
['TLWHRLPVA', '1.088\r\n']
['LREGVIQVS', '1.088\r\n']
['WMVAIASIL', '1.088\r\n']
['LVTLNGFRV', '1.088\r\n']
['ALCGFANLS', '1.088\r\n']
['PKSVLIAGP', '1.088\r\n']
['LFLENAPVA', '1.088\r\n']
['LFLENAPVA', '1.088\r\n']
['TCALFNAYA', '1.088\r\n']
['FTRALPAFV', '1.088\r\n']
['DRGVAVFSL', '1.088\r\n']
['IKCYEANAV', '1.088\r\n']
['LNTLGVGVF', '1.088\r\n']
['LTHVFSGIS', '1.088\r\n']
['YVGALARLG', '1.088\r\n']
['VLIVGAEKT', '1.088\r\n']
['PYSLPIARI', '1.088\r\n']
['LLKILAGLN', '1.088\r\n']
['ILGGYVAYG', '1.088\r\n']
['STVALLEPS', '1.088\r\n']
['FVMGLAIPF', '1.088\r\n']
['VNRALAAPL', '1.088\r\n']
['IYGALANAV', '1.088\r\n']
['PLINYAGPV', '1.088\r\n']
['IKDAVPLAQ', '1.088\r\n']
['YQIGHYPLS', '1.088\r\n']
['ALALNAAVG', '1.088\r\n']
